text prompt,class name,random seed
A tench swimming gracefully in a clear blue pond.,tench,98167
A solitary tench exploring the depths of a tranquil lake.,tench,77802
A beautiful tench peacefully gliding through calm waters.,tench,21982
A curious tench cautiously observing its surroundings.,tench,21035
A mesmerizing tench elegantly displaying its unique markings.,tench,32948
A glimmering goldfish swimming serenely in a crystal-clear aquarium.,goldfish,70666
A vibrant goldfish gracefully navigating through a colorful sea of bubbles.,goldfish,48356
A majestic goldfish flaunting its shimmering scales in a peaceful pond.,goldfish,45827
"A radiant goldfish calmly gliding through a tranquil, sun-kissed pond.",goldfish,96098
"A brilliant goldfish elegantly swimming in a gleaming bowl, reflecting its vibrant colors.",goldfish,67193
A great white shark gracefully gliding through the deep ocean.,great white shark,39944
The mighty jaws of a great white shark on full display.,great white shark,50627
A chilling close-up of a great white shark's piercing gaze.,great white shark,31100
A majestic great white shark soaring through crystal-clear waters.,great white shark,40608
The iconic silhouette of a great white shark surfacing from the depths.,great white shark,23652
A fierce tiger shark gliding through clear blue waters.,tiger shark,36603
The graceful movement of a tiger shark in its ocean realm.,tiger shark,34178
A close-up of a powerful tiger shark swimming with pride.,tiger shark,59954
Witness the magnificence of a tiger shark as it cruises by.,tiger shark,78980
A striking image capturing the beauty and strength of a tiger shark.,tiger shark,73114
A hammerhead resting peacefully on the sandy ocean floor.,hammerhead,19436
A magnificent hammerhead swimming gracefully through clear blue waters.,hammerhead,4913
A close-up of a hammerhead's distinctive and powerful jaw.,hammerhead,61965
A curious hammerhead approaching the camera with its piercing eyes.,hammerhead,16578
A solitary hammerhead gliding through the vastness of the deep sea.,hammerhead,66285
An electric ray swimming gracefully in crystal-clear waters.,electric ray,38905
A stunning electric ray gliding effortlessly through the ocean depths.,electric ray,38849
An up-close shot of an electric ray showing its captivating electric blue coloration.,electric ray,11545
A mesmerizing underwater image capturing the unique beauty of an electric ray.,electric ray,44855
A peaceful moment captured: an electric ray peacefully resting on the sandy ocean floor.,electric ray,26908
A majestic stingray gliding gracefully in crystal-clear waters.,stingray,24853
A curious stingray exploring the ocean floor.,stingray,29757
A graceful stingray swimming peacefully in its natural habitat.,stingray,47163
A stunning stingray showcasing its unique patterning and elegance.,stingray,63493
A mesmerizing stingray effortlessly navigating through the depths of the sea.,stingray,34328
A proud cock perched on a rustic fence.,cock,62136
A vibrant rooster showing off its colorful plumage.,cock,1384
A regal cock strutting confidently in the barnyard.,cock,79843
A majestic rooster standing tall amidst a field of green.,cock,29511
A magnificent cock crowing at the break of dawn.,cock,19070
A plump and proud hen strutting across a green pasture.,hen,82818
A content hen pecking at the grass in a rustic farmyard.,hen,2951
"A curious hen perched on a wooden fence, observing its surroundings.",hen,56648
A free-range hen basking in the warm sunlight of a peaceful meadow.,hen,60729
"A busy hen scratching the soil, looking for tasty morsels in a rural backyard.",hen,93439
An ostrich gracefully standing against a blue sky.,ostrich,5109
A curious ostrich peering through a chain-link fence.,ostrich,32078
A majestic ostrich strutting confidently in an open field.,ostrich,28063
A close-up of an ostrich's strong and slender legs.,ostrich,8306
"An ostrich confidently spreading its wings, ready to take flight.",ostrich,8674
A beautiful brambling perched on a tree branch.,brambling,49163
A close-up shot of a brambling with vibrant feathers.,brambling,81570
A stunning brambling showing off its unique markings.,brambling,92354
A curious brambling exploring its surroundings.,brambling,27728
An elegant brambling resting on a moss-covered rock.,brambling,87925
A beautiful goldfinch perched among blooming flowers.,goldfinch,72978
A vibrant goldfinch showcasing its stunning plumage in the sunlight.,goldfinch,55671
A graceful goldfinch singing its melodious tunes on a branch.,goldfinch,22832
A curious goldfinch exploring its surroundings with a keen eye.,goldfinch,55332
"A tiny goldfinch spreading its wings, ready to take flight.",goldfinch,55472
A beautiful house finch perched on a tree branch.,house finch,73375
A vibrant house finch displaying its colorful feathers.,house finch,35151
A curious house finch exploring its surroundings.,house finch,12090
A graceful house finch taking flight in the sky.,house finch,9860
A charming house finch singing a melodious tune.,house finch,39080
A junco perched on a snowy branch.,junco,7484
A close-up of a junco with vibrant feathers.,junco,61076
A junco hopping on a green meadow.,junco,9588
A junco peacefully sitting on a fence.,junco,45984
A junco framed by colorful autumn leaves.,junco,91703
"An indigo bunting perched on a tree branch, basking in the morning sunlight.",indigo bunting,46534
"A close-up of an indigo bunting, its vibrant blue feathers shining in the sunlight.",indigo bunting,73862
"A solitary indigo bunting delicately balanced on a fence post, enjoying a moment of stillness.",indigo bunting,64740
"An indigo bunting taking flight, its beautiful blue wings spreading wide against a clear blue sky.",indigo bunting,33253
"A stunning indigo bunting perched on a blooming flower, showcasing its vibrant color against a green backdrop.",indigo bunting,25723
"A robin perched on a tree branch, enjoying a peaceful morning.",robin,47678
A proud robin showing off its vibrant red breast feathers.,robin,34095
A curious robin gazing at its reflection in a pond.,robin,30046
A robin gracefully taking flight with its wings spread wide.,robin,62778
A robin delicately picking at a juicy berry on a sunny day.,robin,25634
A charming bulbul perched on a tree branch.,bulbul,71986
"A graceful bulbul in flight, showcasing its vibrant feathers.",bulbul,41864
A curious bulbul exploring its surroundings with a watchful eye.,bulbul,22166
"A playful bulbul hopping from one perch to another, full of energy.",bulbul,83316
"A serene bulbul sitting peacefully on a blossoming tree, singing its melodious song.",bulbul,42068
Jay perched gracefully on a tree branch.,jay,8754
Jay soaring through the clear blue sky.,jay,75986
Jay with striking plumage perched on a fence.,jay,70778
Jay looking curiously at the camera lens.,jay,4115
Jay spreading its wings against a vibrant green backdrop.,jay,47274
A magpie perched gracefully on a tree branch.,magpie,66908
A charming magpie taking flight against a clear blue sky.,magpie,94031
A curious magpie examining its surroundings from a fence post.,magpie,7841
"A sleek magpie poised on a rooftop, eyes gleaming with intelligence.",magpie,83768
"A magnificent magpie displaying its beautiful feathers, ready to take on the day.",magpie,41830
A cute little chickadee perched on a tree branch.,chickadee,6848
An adorable chickadee resting on a colorful flower.,chickadee,2806
A tiny chickadee hopping in a green meadow.,chickadee,85443
A sweet chickadee singing its cheerful song.,chickadee,23025
A charming chickadee with its feathers ruffled in the winter cold.,chickadee,1574
A water ouzel perched on a mossy rock in a clear mountain stream.,water ouzel,2250
A dainty water ouzel gracefully diving into a sparkling pool.,water ouzel,21629
A playful water ouzel splashing around in a tranquil pond.,water ouzel,71513
A curious water ouzel calmly observing its reflection in a calm river.,water ouzel,16351
A determined water ouzel fearlessly navigating through rushing rapids.,water ouzel,98597
A colorful kite soaring high in the clear blue sky.,kite,34677
A vibrant kite dancing gracefully in the wind.,kite,9985
A classic diamond-shaped kite floating effortlessly through the air.,kite,2753
A playful kite zigzagging across the open field.,kite,71381
A majestic kite capturing the essence of freedom in flight.,kite,31829
A majestic bald eagle soaring through the clear blue sky.,bald eagle,10823
A solitary bald eagle perched high on a tree branch.,bald eagle,6991
A close-up of a bald eagle's intense gaze.,bald eagle,58249
A breathtaking view of a bald eagle in flight against a backdrop of mountains.,bald eagle,16038
